,time,text,user_name,user_location,retweet_cnt,favorite_cnt,hashtags,user_mentions,is_retweet
471,2021-03-08 04:43:33,RT @qb_fernando: Great work today at UnderArmour Camp!!! 🏈🎯@LemmingReport @Andrew_Ivins @JohnGarcia_Jr @ChadSimmons_ @RivalsWoody @DBWilson…,wfowles_9,Always Workin’ ❕,3,0,[],"['qb_fernando', 'LemmingReport', 'Andrew_Ivins', 'JohnGarcia_Jr', 'ChadSimmons_', 'RivalsWoody']",True
472,2021-03-08 04:38:54,#day294 and five more miles! @Bose @UnderArmour @saucony #exercise #keepmoving https://t.co/tWslT0078J,bulldawg1987,"Amarillo, Texas",0,0,"['day294', 'exercise', 'keepmoving']","['Bose', 'UnderArmour', 'saucony']",False
473,2021-03-08 04:38:02,@college_logos You might appreciate the backs of these shirts. https://t.co/25Pj3X6rnF,UtahRy,,0,1,[],['college_logos'],False
474,2021-03-08 04:29:50,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @italiancreme #poshmark #fashion… https://t.co/NRh1fPHuxn,MarLiLynShop,"Waco, TX",0,0,"['poshmark', 'fashion']","['Poshmarkapp', 'italiancreme']",False
475,2021-03-08 04:27:52,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @rcoleposher27 #poshmark #fashion… https://t.co/u0NG3hQdID,heybdjsleepyi,"Brooklyn, NY",0,0,"['poshmark', 'fashion']","['Poshmarkapp', 'rcoleposher27']",False
476,2021-03-08 04:04:52,RT @austinjock19: Sexy college football jock bro: underarmour or full pads? https://t.co/NQzehVGiKm,GregoryKenison2,"Washington, DC",59,0,[],['austinjock19'],True
477,2021-03-08 04:04:35,@JoelEmbiid @UnderArmour Complete lack of charisma,Okuden6,,0,0,[],"['JoelEmbiid', 'UnderArmour']",False
478,2021-03-08 03:54:05,RT @austinjock19: Sexy college football jock bro: underarmour or full pads? https://t.co/NQzehVGiKm,youngwildkinky,"Philadelphia, PA",59,0,[],['austinjock19'],True
479,2021-03-08 03:53:26,Sexy college football jock bro: underarmour or full pads? https://t.co/NQzehVGiKm,austinjock19,,59,383,[],[],False
480,2021-03-08 03:39:53,"RT @coachsqhs: Moving up to 3A, moving to New District, why not a New Brand!!! #LFO #goCHIEFS @UAassociation @UnderArmour @UAbasketball htt…",Calebsloan18,,2,0,"['LFO', 'goCHIEFS']","['coachsqhs', 'UAassociation', 'UnderArmour', 'UAbasketball']",True
481,2021-03-08 03:33:54,@lolagucci33 @espn @Nike @StephenCurry30 @UnderArmour Oh wow I didn’t know that!,piscean219,"California, USA",0,0,[],"['lolagucci33', 'espn', 'Nike', 'StephenCurry30', 'UnderArmour']",False
482,2021-03-08 03:32:38,"RT @ProjectRock: A shoe for the hardest worker in EVERY room.
Click the link to upgrade your shoe collection with the new BSR (#BloodSweatR…",Big_Flash,STILL HERE! Where are you?,68,0,[],['ProjectRock'],True
483,2021-03-08 03:32:26,RT @UnderArmour: Shooting ⭐️. @StephenCurry30 makes it 🌧 in the ATL and takes home the 2021 @NBA All-Star 3-point 🏆. https://t.co/Dcymil0qTO,ghatani_dilip,,11,0,[],"['UnderArmour', 'StephenCurry30', 'NBA']",True
484,2021-03-08 03:30:45,@piscean219 @espn @Nike @StephenCurry30 Curry left them for @UnderArmour ! Nike made a huge mistake~ too bad cause… https://t.co/eqXmZI6NcV,lolagucci33,USA,0,1,[],"['piscean219', 'espn', 'Nike', 'StephenCurry30', 'UnderArmour']",False
485,2021-03-08 03:29:08,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/pYQl748Dth,freakschick_23,"Arizona, USA",0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
486,2021-03-08 03:28:16,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @PackerRue #poshmark #fashion… https://t.co/34DTeIc4I5,SamiG937,"Salem, USA",0,0,"['poshmark', 'fashion']","['Poshmarkapp', 'PackerRue']",False
487,2021-03-08 03:22:59,@BHSBlueDevils1 Golf Fanwear Shop items are in and ready for delivery! #UnderArmour https://t.co/NYNJNbt77h,MalenfantTaylor,"Carrollton, GA",0,0,['UnderArmour'],['BHSBlueDevils1'],False
488,2021-03-08 03:17:33,RT @behaviorallyinc: Announcing speakers from @UnderArmour @Aurora_MMJ @FerraraCandyJar @CP_News &amp; Edgewell Personal Care for You Better Be…,RubenDNazario,,2,0,[],"['behaviorallyinc', 'UnderArmour', 'Aurora_MMJ', 'FerraraCandyJar', 'CP_News']",True
489,2021-03-08 03:10:37,I had asked @UnderArmour on the process of refund. So frustrating. (-_-),leesyah,"Jakarta Selatan, DKI Jakarta",0,0,[],['UnderArmour'],False
490,2021-03-08 03:10:36,"With no explanation why it is still stuck in cross-border transit, I think Janio had lost my package from… https://t.co/1Ac7IjCYfr",leesyah,"Jakarta Selatan, DKI Jakarta",0,1,[],[],False
491,2021-03-08 03:08:37,RT @PatrikFrisk: Congrats @StephenCurry30! We're proud to support you in the charge to change the game for GOOD.,Gress87,,2,0,[],"['PatrikFrisk', 'StephenCurry30']",True
492,2021-03-08 02:49:24,RT @JohnCarrollHS: Wilky participated in the Under Armour All-America Combine in Miami today! We are so proud of you! 🏈 #jchsramfam #jchsat…,JCGoldenRams,"Fort Pierce, Florida",3,0,['jchsramfam'],['JohnCarrollHS'],True
493,2021-03-08 02:44:54,"RT @SteveHammActor: Getting an extra #Saturday workout in...
CrossFit Elliptical 
30 minutes 
Levels 7-10
Feeling good...
@PlanetFitness @U…",ejlazar,"Sydney, New South Wales",3,0,['Saturday'],"['SteveHammActor', 'PlanetFitness']",True
494,2021-03-08 02:34:15,@DaveDuFourNBA Mr. @UnderArmour may I have one more....for Dave,sdotsom7,,0,2,[],"['DaveDuFourNBA', 'UnderArmour']",False
495,2021-03-08 02:30:53,@footlocker Curry 4s @UnderArmour,ChubbiBoxx,,0,0,[],"['footlocker', 'UnderArmour']",False
496,2021-03-08 02:29:18,RT @CCCSports: .@EouVolleyball named @underarmour Team of the Week! No. 9 Mounties 8-0 in CCC play and stand alone in 1st place. https://t.…,VolleyTay11,"tenino, wa // la grande, or ",10,0,[],"['CCCSports', 'EouVolleyball', 'UnderArmour']",True
497,2021-03-08 02:27:55,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/d4dOdpKL7y,Camille60283866,,0,0,"['poshmark', 'fashion', 'style', 'shopmycloset']",['Poshmarkapp'],False
498,2021-03-08 02:27:29,@JoelEmbiid @UnderArmour Why would you mess up ur teammate and the coaching staff with of catching that deadly viru… https://t.co/Mk9SWvr6m6,JamesWi31324182,,0,0,[],"['JoelEmbiid', 'UnderArmour']",False
499,2021-03-08 02:12:06,RT @UnderArmour: Shooting ⭐️. @StephenCurry30 makes it 🌧 in the ATL and takes home the 2021 @NBA All-Star 3-point 🏆. https://t.co/Dcymil0qTO,KingOreo01,,11,0,[],"['UnderArmour', 'StephenCurry30', 'NBA']",True
500,2021-03-08 02:00:32,"RT @JoelEmbiid: Never forget where you came from. My first @underarmour signature shoe tells the story of my Yaoundé   🇨🇲 ""Origin."" The #Em…",deebo_vibes,,479,0,[],"['JoelEmbiid', 'UnderArmour']",True
501,2021-03-08 01:54:25,@coachsqhs @UAassociation @UnderArmour @UAbasketball Boooo....you know you are a Nike guy at heart!,Bigblueliner,"Athens, TN",0,1,[],"['coachsqhs', 'UAassociation', 'UnderArmour', 'UAbasketball']",False
502,2021-03-08 01:51:41,The @OCCondors have new @UnderArmour uniforms this year! The white home jersey will pair with royal blue pants whil… https://t.co/HI58btR64r,CoachELawlz,"Oxnard, CA",0,14,[],"['OCCondors', 'UnderArmour']",False
